,len,year,month,gain,annualized_returns
 -19.71491249 -12.8340122   -4.33694456  35.63793814 -27.9296841
  25.20906531 -25.8297571   39.62200705  -0.94615233 -15.34090456]"
11492,30,1935,9,1052.8115434471986,"[ 20.2251554  -11.44789346 -16.91487777  10.85304437  -5.53297692
  14.89632405 -13.12512368  52.45179821 -18.82349119   5.38919407
   1.9006352  -24.95553186  17.99054382  -5.93560838  25.41960903
   3.38845671 -12.0688134  -12.18879159  29.66188952   8.20410636
 -17.54267922 -17.13830779  10.41993751  18.43560478 -23.41319228
  25.82443649 -28.0624275   40.71805264  -5.04534711  -8.71298774]"
11493,30,1935,10,1085.343715222762,"[ 18.19475583 -23.26822869   4.25754547  18.85842708 -20.53313659
  15.5719072   -9.50263021  52.03046421 -22.29897639  18.35025084
 -24.65845034   6.4060828    5.36936077  -4.87318847  25.02392617
   0.23703779 -14.87924326 -11.25533613  43.14346284   3.14678948
 -25.25239221 -11.02572987  18.86959237   3.63966899 -17.31371525
  27.33929175 -29.65668353  45.70757084  -9.07257422  -6.41284523]"
11494,30,1935,11,1106.0037391317728,"[ 20.96695309 -37.31722758  54.11720838 -10.39651871 -14.23796149
   9.62147846   5.65379038  26.63542198 -13.47516896  16.46852304
 -30.2399857   18.57866838   0.73043237  -5.04983036  26.89700183
  -5.70334744 -12.38527144  -5.08446644  35.04391445  -3.59172939
 -16.26971431 -18.63869962  38.6660701  -10.22282416 -15.46793658
  33.69387784 -34.56103725  57.20552863 -10.80600654  -7.2794801 ]"
11495,30,1935,12,1110.2143657413762,"[ 20.71104726 -42.64914686  78.12285442 -16.58922658  -8.97668185
  -1.43470264  19.23423317  12.24828203  -4.40713128  16.60585443
 -34.95326733  21.68696881  -3.04051038   6.5395      16.55071385
  -6.79509274  -4.56452112 -11.22628497  38.33577811  -2.53735437
 -24.33811386 -13.25630357  47.46474802 -16.83404935 -10.77003872
  31.53862765 -33.8197868   42.87941219  -2.92249448  -8.28838125]"
11496,30,1936,1,1099.7093680563216,"[ 15.91382346 -39.35647309  70.82788669 -14.37076527 -10.67652001
  -2.40064452  30.36907485   6.34210891  -4.19551104  14.9874201
 -33.61584621  14.82031603   2.15990966   9.13883169   9.47514222
  -0.79428064  -6.79848541 -14.2172287   46.17640079  -8.74893316
 -21.13540228 -14.9828558   52.3391002  -17.27530757 -12.54112742
  30.5419074  -30.51956646  35.21228729  -4.57939514  -3.4451683 ]"
11497,30,1936,2,1115.3917376816476,"[ 1.68458216e+01 -3.79054401e+01  5.94712073e+01 -1.05152211e+01
 -1.03881660e+01 -1.27719318e+00  3.27155646e+01  3.73513572e-02
 -2.17323431e+00  1.61750744e+01 -3.62172177e+01  1.63177890e+01
  6.52159877e+00  7.58790356e+00  1.41074449e+01 -9.27840440e+00
 -5.79308764e+00 -1.00515606e+01  4.20765377e+01 -1.20871166e+01
 -1.70380658e+01 -1.18061264e+01  4.88632403e+01 -2.32579914e+01
 -9.86463325e-01  1.17034965e+01 -1.81221881e+01  2.43469726e+01
 -4.30385887e+00 -3.76075967e+00]"
11498,30,1936,3,1102.5706333490828,"[ 1.78935022e+01 -3.95459335e+01  6.26327011e+01 -1.06264693e+01
 -1.52731032e+01  6.96603655e+00  4.04195701e+01 -1.30949611e+01
  7.82141918e+00  8.57650491e+00 -3.18130422e+01  2.94481494e+00
  1.70827354e+01  1.28309813e+01  9.69986939e+00 -1.56125342e+01
  4.73114436e-02 -7.41633339e+00  3.86954949e+01 -1.52500382e+01
 -1.89695391e+01 -2.75100663e+00  3.91702054e+01 -2.35831673e+01
  9.79793190e+00  7.67888879e-01 -1.64059595e+01  2.45800990e+01
 -4.67213595e+00 -4.62586716e+00]"
11499,30,1936,4,1049.2601827606347,"[ 15.72328259 -41.02091201  75.87159727 -14.0524921  -13.59835135
  -0.55991262  60.59669711 -19.87665802   5.37304756   8.13279952
 -30.41119496   9.96923874  10.43692968  13.09565459   7.11347407
 -11.88748344  -1.54928282  -6.10242684  32.4619532   -5.99138886
 -28.6169578    3.36184957  38.59289222 -26.73539116  19.22709649
  -6.41550132 -14.2526451   27.86023062  -8.28601372  -7.03941625]"
11500,30,1936,5,1080.5113303936687,"[  7.14271341 -35.10171452  53.61343461   7.77434708 -25.21507521
   1.70894784  72.97374019 -28.1944936   14.94821782   7.92223571
 -39.06796317  35.10757105  -7.90677791  24.96599268   2.66226613
 -12.15926991  -4.56184852   7.61522375  20.54838761  -7.53714342
 -26.15214604   0.46141799  42.40714349 -27.71944692  21.19998872
 -12.88390723  -1.66860678  14.53843825  -5.46047612  -5.29837241]"
11501,30,1936,6,1014.8493497439931,"[  1.26630693 -27.14442274  48.72166759 -12.01970381  -1.36581784
  -4.8968933   71.01457868 -30.9783147   19.23608787   2.27180546
 -38.03685037  46.66436809 -17.98162647  36.84435178  -4.36420325
  -9.50602147  -3.8812521   10.66229141  11.61490987  -6.08516767
 -18.58894963  -6.7780246   40.72907642 -28.17546367  26.44439979
 -21.62726835  18.16493022   2.92205782  -3.99994125 -12.01575597]"
11502,30,1936,7,1001.7601463864868,"[ -3.71949975 -18.16261226  39.13364447 -20.31214953  21.25407144
 -12.39706333  61.8958292  -26.67300184  12.72804982   2.37310199
 -33.69610842  41.60394887 -25.84266801  60.87176438 -13.59220721
  -2.38783862 -13.54332137  23.02378395  12.11898562 -15.79744945
 -11.48093748  -8.08397204  35.10502917 -22.33638171  14.98490466
 -26.22911886  49.17773483  -9.48188299  -7.48080127  -4.39945655]"
11503,30,1936,8,995.4268301577422,"[  1.44644395  -7.72730819   6.57878475 -10.65907077  21.83599705
 -14.70509814  59.56675545 -24.94772285   6.93551988   6.00916338
 -26.64020103  19.20131233 -12.78597636  30.54890661   7.53465659
  -9.89729092 -15.55601266  27.81940006  12.7537939  -19.70549132
 -12.82763131  -4.33275255  35.61677752 -27.92237769  25.20311964
 -25.82824696  39.61774055  -0.94488714 -15.33908071  -0.80921815]"
11504,30,1936,9,926.4486638829446,"[  1.94736757  -6.95865227   3.35663516  -5.69918343  14.99244921
 -12.78362447  51.45395842 -18.55922199   5.36402404   1.86785981
 -24.82622772  17.902771    -5.91951798  25.35260598   3.39577195
 -12.04692538 -12.18150952  29.64938064   8.2001932  -17.533882
 -17.13165639  10.42148459  18.4226142  -23.40641921  25.8186195
 -28.05976343  40.7121434   -5.04423981  -8.71184291 -11.45855612]"
